muestra;organismos;porcentage;Alterado;ASV;otu
FRO2;Arcellinida;0.73587;1;21;17
FRO2;Diatomea;0.0014084;1;;
FRO2;other;0.26272074;1;;
ORO2;Arcellinida;0.911835;1;8;8
ORO2;Diatomea;0.005555058;1;;
ORO2;other;0.082609085;1;;
Q1;Arcellinida;0.486643;1;6;5
Q1;Diatomea;0.060954817;1;;
Q1;other;0.45240125;1;;
Q2;Arcellinida;0.67644;1;8;6
Q2;Diatomea;0.087703436;1;;
Q2;other;0.235856368;1;;
Q3;Arcellinida;0.768951;1;12;10
Q3;Diatomea;0.010595786;1;;
Q3;other;0.220452894;1;;
R245_1;Arcellinida;0.740696026;1;12;3
R245_1;Diatomea;0.156579707;1;;
R245_1;other;0.102724266;1;;
R245_2;Arcellinida;0.868111163;1;12;2
R245_2;Diatomea;0.033846982;1;;
R245_2;other;0.098041855;1;;
R246;Arcellinida;0.919060773;1;4;3
R246;Diatomea;0.01961326;1;;
R246;other;0.061325967;1;;
S1;Arcellinida;0.10430564;1;5;5
S1;Diatomea;0.03577926;1;;
S1;other;0.8599151;1;;
S25;Arcellinida;0.135125047;1;3;2
S25;Diatomea;0.393617021;1;;
S25;other;0.471257932;1;;
S27;Arcellinida;0.671638541;1;7;5
S27;Diatomea;0.267501361;1;;
S27;other;0.060860098;1;;
S40;Arcellinida;0.361781609;1;4;3
S40;Diatomea;0.555747126;1;;
S40;other;0.082471264;1;;
S6;Arcellinida;0.325057134;1;6;4
S6;Diatomea;0.466721214;1;;
S6;other;0.208221652;1;;
S60;Arcellinida;0.437446074;1;3;2
S60;Diatomea;0.545642796;1;;
S60;other;0.01691113;1;;
S74;Arcellinida;0.643049673;1;9;4
S74;Diatomea;0.3114705;1;;
S74;other;0.045479827;1;;
S75;Arcellinida;0.223599209;1;7;4
S75;Diatomea;0.558206987;1;;
S75;other;0.218193804;1;;
S_final;Arcellinida;0.02674088;0;4;4
S_final;Diatomea;0.778933995;0;;
S_final;other;0.194325126;0;;
S10;Arcellinida;0.00663667;0;2;2
S10;Diatomea;0.982227222;0;;
S10;other;0.011136108;0;;
S11;Arcellinida;0.064435146;0;0;0
S11;Diatomea;0.828284519;0;;
S11;other;0.107280335;0;;
S12;Arcellinida;0.001685393;0;0;0
S12;Diatomea;0.995224719;0;;
S12;other;0.003089888;0;;
S13;Arcellinida;0.086935107;0;2;2
S13;Diatomea;0.902967615;0;;
S13;other;0.010097279;0;;
S14;Arcellinida;0.009975355;0;2;2
S14;Diatomea;0.986386574;0;;
S14;other;0.003638071;0;;
S15;Arcellinida;0.000566974;0;0;0
S15;Diatomea;0.992204111;0;;
S15;other;0.007228916;0;;
